,speaker,season,id_episode,line_count,total_line_count_id_episode,norm_line_count
0,Andy,3,0301,8,178,0.0449438202247191
1,Angela,3,0301,4,178,0.02247191011235955
2,Creed,3,0301,1,178,0.0056179775280898875
3,Dwight,3,0301,19,178,0.10674157303370786
4,Jan,3,0301,12,178,0.06741573033707865
5,Jim,3,0301,14,178,0.07865168539325842
6,Karen,3,0301,1,178,0.0056179775280898875
7,Kelly,3,0301,1,178,0.0056179775280898875
8,Kevin,3,0301,1,178,0.0056179775280898875
9,Meredith,3,0301,2,178,0.011235955056179775
10,Michael,3,0301,66,178,0.3707865168539326
11,Oscar,3,0301,17,178,0.09550561797752809
12,Pam,3,0301,12,178,0.06741573033707865
13,Phyllis,3,0301,3,178,0.016853932584269662
14,Roy,3,0301,4,178,0.02247191011235955
15,Ryan,3,0301,1,178,0.0056179775280898875
16,Stanley,3,0301,1,178,0.0056179775280898875
17,Toby,3,0301,11,178,0.06179775280898876
18,Andy,3,0303,10,288,0.034722222222222224
19,Angela,3,0303,14,288,0.04861111111111111
20,Creed,3,0303,3,288,0.010416666666666666
21,Dwight,3,0303,78,288,0.2708333333333333
22,Jan,3,0303,28,288,0.09722222222222222
23,Jim,3,0303,18,288,0.0625
24,Karen,3,0303,8,288,0.027777777777777776
25,Kelly,3,0303,8,288,0.027777777777777776
26,Kevin,3,0303,5,288,0.017361111111111112
27,Michael,3,0303,84,288,0.2916666666666667
28,Pam,3,0303,21,288,0.07291666666666667
29,Phyllis,3,0303,5,288,0.017361111111111112
30,Roy,3,0303,2,288,0.006944444444444444
31,Ryan,3,0303,1,288,0.003472222222222222
32,Stanley,3,0303,3,288,0.010416666666666666
33,Andy,3,0304,4,309,0.012944983818770227
34,Angela,3,0304,7,309,0.022653721682847898
35,Creed,3,0304,6,309,0.019417475728155338
36,Dwight,3,0304,41,309,0.13268608414239483
37,Jan,3,0304,17,309,0.05501618122977346
38,Jim,3,0304,19,309,0.061488673139158574
39,Karen,3,0304,15,309,0.04854368932038835
40,Kelly,3,0304,5,309,0.016181229773462782
41,Kevin,3,0304,9,309,0.02912621359223301
42,Meredith,3,0304,1,309,0.003236245954692557
43,Michael,3,0304,110,309,0.3559870550161812
44,Pam,3,0304,34,309,0.11003236245954692
45,Phyllis,3,0304,3,309,0.009708737864077669
46,Roy,3,0304,15,309,0.04854368932038835
47,Ryan,3,0304,7,309,0.022653721682847898
48,Stanley,3,0304,6,309,0.019417475728155338
49,Toby,3,0304,10,309,0.032362459546925564
50,Andy,3,0305,8,317,0.025236593059936908
51,Angela,3,0305,4,317,0.012618296529968454
52,Dwight,3,0305,62,317,0.19558359621451105
53,Jan,3,0305,12,317,0.03785488958990536
54,Jim,3,0305,47,317,0.14826498422712933
55,Karen,3,0305,13,317,0.04100946372239748
56,Kelly,3,0305,6,317,0.01892744479495268
57,Kevin,3,0305,4,317,0.012618296529968454
58,Michael,3,0305,45,317,0.14195583596214512
59,Pam,3,0305,60,317,0.1892744479495268
60,Phyllis,3,0305,2,317,0.006309148264984227
61,Ryan,3,0305,44,317,0.138801261829653
62,Stanley,3,0305,9,317,0.028391167192429023
63,Toby,3,0305,1,317,0.0031545741324921135
64,Andy,3,0306,18,239,0.07531380753138076
65,Angela,3,0306,10,239,0.04184100418410042
66,Creed,3,0306,1,239,0.0041841004184100415
67,Dwight,3,0306,9,239,0.03765690376569038
68,Jan,3,0306,12,239,0.0502092050209205
69,Jim,3,0306,20,239,0.08368200836820083
70,Karen,3,0306,15,239,0.06276150627615062
71,Kelly,3,0306,20,239,0.08368200836820083
72,Kevin,3,0306,9,239,0.03765690376569038
73,Meredith,3,0306,2,239,0.008368200836820083
74,Michael,3,0306,78,239,0.3263598326359833
75,Pam,3,0306,27,239,0.11297071129707113
76,Phyllis,3,0306,2,239,0.008368200836820083
77,Roy,3,0306,1,239,0.0041841004184100415
78,Ryan,3,0306,12,239,0.0502092050209205
79,Stanley,3,0306,1,239,0.0041841004184100415
