,speaker,season,id_episode,word_count,total_word_count_id_episode,norm_word_count
0,Andy,3,0301,173,2787,0.06207391460351633
1,Angela,3,0301,45,2787,0.016146393972012917
2,Creed,3,0301,41,2787,0.014711158952278435
3,Dwight,3,0301,189,2787,0.06781485468245425
4,Jan,3,0301,136,2787,0.048797990670972374
5,Jim,3,0301,155,2787,0.05561535701471116
6,Karen,3,0301,28,2787,0.010046645138141371
7,Kelly,3,0301,12,2787,0.004305705059203444
8,Kevin,3,0301,3,2787,0.001076426264800861
9,Meredith,3,0301,10,2787,0.003588087549336204
10,Michael,3,0301,1355,2787,0.4861858629350556
11,Oscar,3,0301,232,2787,0.08324363114459993
12,Pam,3,0301,123,2787,0.04413347685683531
13,Phyllis,3,0301,33,2787,0.011840688912809472
14,Roy,3,0301,59,2787,0.021169716541083603
15,Ryan,3,0301,25,2787,0.00897021887334051
16,Stanley,3,0301,48,2787,0.017222820236813777
17,Toby,3,0301,120,2787,0.04305705059203445
18,Andy,3,0303,61,2844,0.021448663853727144
19,Angela,3,0303,157,2844,0.05520393811533052
20,Creed,3,0303,43,2844,0.015119549929676512
21,Dwight,3,0303,771,2844,0.27109704641350213
22,Jan,3,0303,204,2844,0.07172995780590717
23,Jim,3,0303,275,2844,0.09669479606188466
24,Karen,3,0303,38,2844,0.013361462728551337
25,Kelly,3,0303,65,2844,0.022855133614627286
26,Kevin,3,0303,38,2844,0.013361462728551337
27,Michael,3,0303,897,2844,0.3154008438818565
28,Pam,3,0303,251,2844,0.08825597749648383
29,Phyllis,3,0303,14,2844,0.004922644163150493
30,Roy,3,0303,4,2844,0.0014064697609001407
31,Ryan,3,0303,10,2844,0.0035161744022503515
32,Stanley,3,0303,16,2844,0.005625879043600563
33,Andy,3,0304,36,4154,0.008666345690900338
34,Angela,3,0304,40,4154,0.009629272989889264
35,Creed,3,0304,56,4154,0.013480982185844969
36,Dwight,3,0304,501,4154,0.12060664419836302
37,Jan,3,0304,147,4154,0.03538757823784304
38,Jim,3,0304,227,4154,0.05464612421762157
39,Karen,3,0304,114,4154,0.0274434280211844
