,speaker,season,line_count,total_line_count_season,norm_line_count
0,Andy,3,399,7147,0.05582761998041136
1,Angela,3,247,7147,0.03455995522596894
2,Creed,3,71,7147,0.00993423814187771
3,Darryl,3,88,7147,0.012312858542045613
4,David,3,65,7147,0.00909472505946551
5,Dwight,3,957,7147,0.13390233664474605
6,Jan,3,307,7147,0.04295508605009095
7,Jim,3,797,7147,0.11151532111375402
8,Karen,3,298,7147,0.041695816426472646
9,Kelly,3,179,7147,0.025045473625297326
10,Kevin,3,220,7147,0.030782146355114035
11,Meredith,3,62,7147,0.00867496851825941
12,Michael,3,2052,7147,0.28711347418497274
13,Oscar,3,73,7147,0.01021407583601511
14,Pam,3,707,7147,0.098922624877571
15,Phyllis,3,115,7147,0.01609066741290052
16,Roy,3,89,7147,0.012452777389114314
17,Ryan,3,200,7147,0.02798376941374003
18,Stanley,3,94,7147,0.013152371624457815
19,Toby,3,127,7147,0.01776969357772492
20,Andy,4,225,5341,0.04212694252012732
21,Angela,4,193,5341,0.036135555139486984
22,Creed,4,68,5341,0.0127316981838607
23,Darryl,4,65,5341,0.01217000561692567
24,David,4,3,5341,0.0005616925669350309
25,Dwight,4,563,5341,0.1054109717281408
26,Holly,4,74,5341,0.013855083317730763
27,Jan,4,216,5341,0.04044186481932222
28,Jim,4,696,5341,0.13031267552892717
29,Karen,4,25,5341,0.004680771391125257
30,Kelly,4,95,5341,0.017786931286275977
31,Kevin,4,145,5341,0.027148474068526492
32,Meredith,4,62,5341,0.011608313049990639
33,Michael,4,1687,5341,0.31585845347313235
34,Oscar,4,112,5341,0.020969855832241154
35,Pam,4,551,5341,0.10316420146040067
36,Phyllis,4,101,5341,0.01891031642014604
37,Ryan,4,232,5341,0.04343755850964239
38,Stanley,4,81,5341,0.015165699307245834
39,Toby,4,147,5341,0.027522935779816515
40,Andy,5,502,7822,0.06417795960112503
41,Angela,5,224,7822,0.028637177192533878
42,Charles,5,227,7822,0.029020710815648172
43,Creed,5,52,7822,0.006647916133981079
44,Darryl,5,102,7822,0.013040143185885963
45,David,5,130,7822,0.016619790334952696
46,Dwight,5,1091,7822,0.13947839427256456
47,Erin,5,53,7822,0.0067757606750191764
48,Holly,5,271,7822,0.034645870621324466
49,Jan,5,64,7822,0.008182050626438252
50,Jim,5,888,7822,0.11352595244183074
51,Karen,5,22,7822,0.002812579902838149
52,Kelly,5,161,7822,0.020582971107133724
53,Kevin,5,197,7822,0.025185374584505243
54,Meredith,5,116,7822,0.01482996676041933
55,Michael,5,2231,7822,0.2852211710559959
56,Oscar,5,218,7822,0.02787010994630529
57,Pam,5,717,7822,0.09166453592431603
58,Phyllis,5,187,7822,0.023906929174124264
59,Roy,5,14,7822,0.0017898235745333673
60,Ryan,5,170,7822,0.021733571976476605
61,Stanley,5,113,7822,0.014446433137305037
62,Toby,5,72,7822,0.009204806954743032
63,Andy,6,545,7033,0.0774918242570738
64,Angela,6,137,7033,0.01947959618939286
65,Creed,6,39,7033,0.005545286506469501
66,Darryl,6,86,7033,0.012228067680932746
67,David,6,117,7033,0.0166358595194085
68,Dwight,6,829,7033,0.1178728849708517
69,Erin,6,306,7033,0.0435091710507607
70,Gabe,6,88,7033,0.012512441347931181
71,Jim,6,936,7033,0.133086876155268
72,Jo,6,138,7033,0.01962178302289208
73,Kelly,6,123,7033,0.01748898052040381
74,Kevin,6,240,7033,0.03412484003981232
75,Meredith,6,82,7033,0.011659320346935873
76,Michael,6,2032,7033,0.2889236456704109
77,Oscar,6,184,7033,0.026162377363856106
78,Pam,6,715,7033,0.10166358595194085
79,Phyllis,6,138,7033,0.01962178302289208
80,Ryan,6,125,7033,0.017773354187402248
81,Stanley,6,72,7033,0.010237452011943694
82,Toby,6,101,7033,0.014360870183421016
83,Andy,7,565,6791,0.08319835075835665
84,Angela,7,171,6791,0.025180385804741568
85,Creed,7,71,6791,0.010455013989103226
86,Darryl,7,229,6791,0.03372110145781181
87,David,7,12,6791,0.0017670446178766014
88,Deangelo,7,172,6791,0.025327639522897953
89,Dwight,7,733,6791,0.10793697540862907
90,Erin,7,315,6791,0.046384921219260786
91,Gabe,7,219,6791,0.032248564276247976
92,Holly,7,265,6791,0.03902223531144161
93,Jan,7,17,6791,0.0025033132086585185
94,Jim,7,692,6791,0.10189957296421735
95,Jo,7,58,6791,0.00854071565307024
96,Karen,7,1,6791,0.00014725371815638345
97,Kelly,7,161,6791,0.023707848623177735
98,Kevin,7,249,6791,0.03666617582093948
99,Meredith,7,70,6791,0.010307760270946842
100,Michael,7,1446,6791,0.21292887645413047
101,Nellie,7,9,6791,0.001325283463407451
102,Oscar,7,200,6791,0.02945074363127669
103,Pam,7,621,6791,0.09144455897511412
104,Phyllis,7,148,6791,0.02179355028714475
105,Robert,7,17,6791,0.0025033132086585185
106,Ryan,7,178,6791,0.026211161831836253
107,Stanley,7,75,6791,0.011044028861728759
108,Toby,7,97,6791,0.014283610661169194
109,Andy,8,1154,6469,0.1783892409955171
110,Angela,8,171,6469,0.026433761014067088
111,Creed,8,33,6469,0.005101252125521719
112,Darryl,8,316,6469,0.04884835368681403
113,David,8,26,6469,0.004019168341320142
114,Dwight,8,983,6469,0.15195547998144998
115,Erin,8,436,6469,0.06739836141598392
116,Gabe,8,120,6469,0.018550007729169888
117,Jim,8,880,6469,0.13603339001391251
118,Kelly,8,124,6469,0.019168341320142217
119,Kevin,8,250,6469,0.038645849435770596
120,Meredith,8,83,6469,0.012830422012675839
121,Nellie,8,234,6469,0.03617251507188128
122,Oscar,8,237,6469,0.036636265265110525
123,Pam,8,479,6469,0.07404544751893646
124,Phyllis,8,123,6469,0.019013757922399135
