,speaker,season,word_count,total_word_count_season,norm_word_count
0,Andy,3,4922,82959,0.05933051266288166
1,Angela,3,2416,82959,0.02912281970611989
2,Creed,3,965,82959,0.01163225207632686
3,Darryl,3,946,82959,0.01140322327896913
4,David,3,676,82959,0.008148603527043479
5,Dwight,3,10250,82959,0.12355500910088116
6,Jan,3,3229,82959,0.0389228414035849
7,Jim,3,6553,82959,0.07899082679395845
8,Karen,3,2520,82959,0.030376451017972733
9,Kelly,3,2273,82959,0.027399076652322232
10,Kevin,3,1771,82959,0.021347894743186394
11,Meredith,3,415,82959,0.005002471100182018
12,Michael,3,31779,82959,0.383068744801649
13,Oscar,3,739,82959,0.008908014802492798
14,Pam,3,7598,82959,0.09158741064863367
15,Phyllis,3,922,82959,0.011113923745464627
16,Roy,3,881,82959,0.010619703709061103
17,Ryan,3,2045,82959,0.02465073108402946
18,Stanley,3,855,82959,0.010306295881097891
19,Toby,3,1204,82959,0.014513193264142528
20,Andy,4,2933,63378,0.04627788822619837
21,Angela,4,1796,63378,0.02833790905361482
22,Creed,4,688,63378,0.01085550190917984
23,Darryl,4,656,63378,0.010350594843636592
24,David,4,8,63378,0.0001262267663858121
25,Dwight,4,6485,63378,0.10232257250149894
26,Holly,4,604,63378,0.009530120862128814
27,Jan,4,2267,63378,0.03576950992457951
28,Jim,4,6841,63378,0.10793966360566758
29,Karen,4,266,63378,0.004197039982328253
30,Kelly,4,908,63378,0.014326737984789674
31,Kevin,4,1311,63378,0.02068541134147496
32,Meredith,4,438,63378,0.006910915459623213
33,Michael,4,26472,63378,0.4176843699706523
34,Oscar,4,899,63378,0.014184732872605636
35,Pam,4,4883,63378,0.07704566253274006
36,Phyllis,4,897,63378,0.014153176181009183
37,Ryan,4,2570,63378,0.04055034870144214
38,Stanley,4,847,63378,0.013364258891097857
39,Toby,4,1609,63378,0.02538735838934646
40,Andy,5,5378,86874,0.06190574855537905
41,Angela,5,2169,86874,0.024967193866979764
42,Charles,5,1894,86874,0.02180168980362364
43,Creed,5,407,86874,0.004684946013767065
44,Darryl,5,800,86874,0.009208739093399636
45,David,5,1527,86874,0.017577180744526556
46,Dwight,5,12021,86874,0.1383728158021963
47,Erin,5,255,86874,0.002935285586021134
48,Holly,5,2512,86874,0.028915440753274856
49,Jan,5,773,86874,0.0088979441489974
50,Jim,5,8481,86874,0.0976241453139029
51,Karen,5,169,86874,0.001945346133480673
52,Kelly,5,1686,86874,0.019407417639339734
53,Kevin,5,1717,86874,0.01976425627920897
54,Meredith,5,992,86874,0.011418836475815548
55,Michael,5,32495,86874,0.37404747105002645
56,Oscar,5,1903,86874,0.021905288118424383
57,Pam,5,6457,86874,0.07432603540760181
58,Phyllis,5,1667,86874,0.01918871008587149
59,Roy,5,43,86874,0.0004949697262702304
60,Ryan,5,1762,86874,0.020282247853212698
61,Stanley,5,912,86874,0.010497962566475585
62,Toby,5,854,86874,0.009830328982204112
63,Andy,6,6535,77560,0.0842573491490459
64,Angela,6,1017,77560,0.01311242908715833
65,Creed,6,341,77560,0.004396596183599793
66,Darryl,6,1021,77560,0.01316400206291903
67,David,6,1327,77560,0.017109334708612686
68,Dwight,6,9787,77560,0.12618617844249613
69,Erin,6,2805,77560,0.03616554925219185
70,Gabe,6,1351,77560,0.017418772563176897
71,Jim,6,8634,77560,0.11132026817947395
72,Jo,6,2046,77560,0.026379577101598762
73,Kelly,6,1356,77560,0.01748323878287777
74,Kevin,6,1916,77560,0.024703455389375968
75,Meredith,6,659,77560,0.008496647756575555
76,Michael,6,27038,77560,0.34860752965446107
77,Oscar,6,1717,77560,0.02213769984528107
78,Pam,6,6311,77560,0.08136926250644662
79,Phyllis,6,1136,77560,0.014646725116039195
80,Ryan,6,1120,77560,0.01444043321299639
81,Stanley,6,516,77560,0.006652913873130479
82,Toby,6,927,77560,0.011952037132542549
83,Andy,7,6271,77002,0.08143944313134724
84,Angela,7,1717,77002,0.022298122126698006
85,Creed,7,789,77002,0.010246487104231058
86,Darryl,7,2156,77002,0.027999272746162436
87,David,7,95,77002,0.0012337341887223708
88,Deangelo,7,2276,77002,0.029557673826653853
89,Dwight,7,9531,77002,0.12377600581803071
90,Erin,7,2682,77002,0.034830264148983145
91,Gabe,7,3017,77002,0.03918080049868834
92,Holly,7,2070,77002,0.026882418638476922
93,Jan,7,278,77002,0.0036102958364717798
94,Jim,7,6339,77002,0.08232253707695904
95,Jo,7,984,77002,0.01277888886002961
96,Karen,7,12,77002,0.00015584010804914157
97,Kelly,7,2033,77002,0.026401911638658737
98,Kevin,7,2106,77002,0.02734993896262435
99,Meredith,7,571,77002,0.007415391808004987
100,Michael,7,20822,77002,0.27040856081660214
101,Nellie,7,201,77002,0.0026103218098231214
102,Oscar,7,1575,77002,0.020454014181449834
103,Pam,7,6445,77002,0.08369912469805979
104,Phyllis,7,1251,77002,0.01624633126412301
105,Robert,7,298,77002,0.0038700293498870157
106,Ryan,7,1965,77002,0.025518817693046935
107,Stanley,7,561,77002,0.007285525051297369
108,Toby,7,957,77002,0.012428248616919041
109,Andy,8,14586,73284,0.19903389552972
110,Angela,8,1460,73284,0.019922493313683752
111,Creed,8,281,73284,0.003834397685715845
112,Darryl,8,3155,73284,0.04305168931826865
113,David,8,306,73284,0.004175536269854265
114,Dwight,8,13318,73284,0.1817313465422193
115,Erin,8,4014,73284,0.05477321106926478
116,Gabe,8,1666,73284,0.022733475246984335
117,Jim,8,8943,73284,0.12203209431799575
118,Kelly,8,1408,73284,0.019212925058675837
119,Kevin,8,2374,73284,0.0323945199497844
120,Meredith,8,672,73284,0.00916980514164074
121,Nellie,8,3175,73284,0.04332460018557939
122,Oscar,8,2138,73284,0.029174171715517713
123,Pam,8,4114,73284,0.05613776540581846
124,Phyllis,8,893,73284,0.012185470225424376
125,Robert,8,6164,73284,0.08411112930516894
126,Ryan,8,2376,73284,0.03242181103651547
127,Stanley,8,1063,73284,0.014505212597565636
128,Toby,8,1178,73284,0.016074450084602367
129,Andy,9,9009,67483,0.1335002889616644
130,Angela,9,3409,67483,0.05051642635923121
131,Creed,9,660,67483,0.009780240949572486
132,Darryl,9,2705,67483,0.0400841693463539
133,David,9,192,67483,0.0028451610035119955
134,Dwight,9,15117,67483,0.22401197338588977
135,Erin,9,4020,67483,0.059570558511032407
